Pregrasp pose | Grasp pose | Postgrasp pose | probability | gripper close | gripper open (Matrix as Col vectors)
  0.467262  -0.261224  -0.844647          0  -0.863276  0.0714165  -0.499655          0   0.190843   0.962633  -0.192138          0   0.112428 -0.0265666  -0.153603          1|    0.467262    -0.261224    -0.844647            0    -0.863276    0.0714165    -0.499655            0     0.190843     0.962633    -0.192138            0    0.0657021 -0.000444233    -0.069138            1|    0.467262    -0.261224    -0.844647            0    -0.863276    0.0714165    -0.499655            0     0.190843     0.962633    -0.192138            0    0.0657021 -0.000444233     0.130862            1|0.896013|0.0427539|0.05
 0.265848 -0.777156 -0.570398         0 -0.863276 0.0714165 -0.499655         0  0.429045  0.625243 -0.651914         0 0.0732532 -0.126915 -0.100261         1|  0.265848  -0.777156  -0.570398          0  -0.863276  0.0714165  -0.499655          0   0.429045   0.625243  -0.651914          0  0.0466684 -0.0491998 -0.0432215          1|  0.265848  -0.777156  -0.570398          0  -0.863276  0.0714165  -0.499655          0   0.429045   0.625243  -0.651914          0  0.0466684 -0.0491998   0.156779          1|0.896013|0.0427539|0.05
  0.459554   0.520584  -0.719585          0   0.863276 -0.0714165   0.499655          0   0.208722  -0.850818  -0.482227          0   0.110929   0.125495  -0.129278          1|  0.459554   0.520584  -0.719585          0   0.863276 -0.0714165   0.499655          0   0.208722  -0.850818  -0.482227          0  0.0649737  0.0734366 -0.0573196          1|  0.459554   0.520584  -0.719585          0   0.863276 -0.0714165   0.499655          0   0.208722  -0.850818  -0.482227          0  0.0649737  0.0734366    0.14268          1|0.896013|0.0427539|0.05
  0.494471 -0.0789372  -0.865602          0   0.863276 -0.0714165   0.499655          0   -0.10126  -0.994318  0.0328312          0    0.11772 0.00888814  -0.157679          1|  0.494471 -0.0789372  -0.865602          0   0.863276 -0.0714165   0.499655          0   -0.10126  -0.994318  0.0328312          0  0.0682733  0.0167819 -0.0711183          1|  0.494471 -0.0789372  -0.865602          0   0.863276 -0.0714165   0.499655          0   -0.10126  -0.994318  0.0328312          0  0.0682733  0.0167819   0.128882          1|0.896013|0.0427539|0.05
  0.340517  -0.648307  -0.680989          0   0.863276 -0.0714165   0.499655          0  -0.372564  -0.758022   0.535349          0  0.0877763  -0.101854  -0.121771          1|  0.340517  -0.648307  -0.680989          0   0.863276 -0.0714165   0.499655          0  -0.372564  -0.758022   0.535349          0  0.0537246 -0.0370236 -0.0536724          1|  0.340517  -0.648307  -0.680989          0   0.863276 -0.0714165   0.499655          0  -0.372564  -0.758022   0.535349          0  0.0537246 -0.0370236   0.146328          1|0.896013|0.0427539|0.05
 0.490198  0.354487 -0.796269         0 -0.863276 0.0714165 -0.499655         0 -0.120254   0.93233  0.341028         0  0.116889 0.0931891 -0.144193         1|  0.490198   0.354487  -0.796269          0  -0.863276  0.0714165  -0.499655          0  -0.120254    0.93233   0.341028          0  0.0678695  0.0577404 -0.0645664          1| 0.490198  0.354487 -0.796269         0 -0.863276 0.0714165 -0.499655         0 -0.120254   0.93233  0.341028         0 0.0678695 0.0577404  0.135434         1|0.896013|0.0427539|0.05
  0.328656   0.528287  -0.782878          0  -0.917994 -0.0161356  -0.396267          0  -0.221975   0.848912   0.479661          0  0.0854694   0.128844  -0.144304          1|  0.328656   0.528287  -0.782878          0  -0.917994 -0.0161356  -0.396267          0  -0.221975   0.848912   0.479661          0  0.0526038  0.0760156 -0.0660159          1|  0.328656   0.528287  -0.782878          0  -0.917994 -0.0161356  -0.396267          0  -0.221975   0.848912   0.479661          0  0.0526038  0.0760156   0.133984          1|0.892043|0.0402055|0.05
  0.312671  -0.644114  -0.698108          0  -0.917994 -0.0161356  -0.396267          0   0.243976   0.764759  -0.596337          0  0.0823603 -0.0991877  -0.127816          1|  0.312671  -0.644114  -0.698108          0  -0.917994 -0.0161356  -0.396267          0   0.243976   0.764759  -0.596337          0  0.0510932 -0.0347763 -0.0580051          1|  0.312671  -0.644114  -0.698108          0  -0.917994 -0.0161356  -0.396267          0   0.243976   0.764759  -0.596337          0  0.0510932 -0.0347763   0.141995          1|0.892043|0.0402055|0.05
   0.10955  -0.970613  -0.214263          0  -0.917994 -0.0161356  -0.396267          0   0.381164   0.240103  -0.892785          0  0.0428533  -0.162692  -0.033708          1|   0.10955  -0.970613  -0.214263          0  -0.917994 -0.0161356  -0.396267          0   0.381164   0.240103  -0.892785          0  0.0318983 -0.0656305 -0.0122818          1|   0.10955  -0.970613  -0.214263          0  -0.917994 -0.0161356  -0.396267          0   0.381164   0.240103  -0.892785          0  0.0318983 -0.0656305   0.187718          1|0.892043|0.0402055|0.05
  0.396362 -0.0715846  -0.915299          0  -0.917994 -0.0161356  -0.396267          0  0.0135977   0.997304 -0.0721098          0  0.0986382  0.0121693   -0.17006          1|  0.396362 -0.0715846  -0.915299          0  -0.917994 -0.0161356  -0.396267          0  0.0135977   0.997304 -0.0721098          0   0.059002  0.0193277 -0.0785297          1|  0.396362 -0.0715846  -0.915299          0  -0.917994 -0.0161356  -0.396267          0  0.0135977   0.997304 -0.0721098          0   0.059002  0.0193277    0.12147          1|0.892043|0.0402055|0.05
 0.0565599  -0.994285 -0.0905406          0   0.917994  0.0161356   0.396267          0  -0.392541  -0.105529    0.91366          0  0.0325467  -0.167296 -0.0096441          1|   0.0565599    -0.994285   -0.0905406            0     0.917994    0.0161356     0.396267            0    -0.392541    -0.105529      0.91366            0    0.0268907   -0.0678675 -0.000590037            1| 0.0565599  -0.994285 -0.0905406          0   0.917994  0.0161356   0.396267          0  -0.392541  -0.105529    0.91366          0  0.0268907 -0.0678675    0.19941          1|0.892043|0.0402055|0.05
 0.276488 -0.742366 -0.610285         0  0.917994 0.0161356  0.396267         0 -0.284328   -0.6698  0.685948         0 0.0753227 -0.118298 -0.110734         1|  0.276488  -0.742366  -0.610285          0   0.917994  0.0161356   0.396267          0  -0.284328    -0.6698   0.685948          0  0.0476739 -0.0440611 -0.0497059          1|  0.276488  -0.742366  -0.610285          0   0.917994  0.0161356   0.396267          0  -0.284328    -0.6698   0.685948          0  0.0476739 -0.0440611   0.150294          1|0.892043|0.0402055|0.05
  0.390807  -0.206888  -0.896921          0   0.917994  0.0161356   0.396267          0 -0.0675104  -0.978232   0.196227          0  0.0975577 -0.0141472  -0.166485          1|  0.390807  -0.206888  -0.896921          0   0.917994  0.0161356   0.396267          0 -0.0675104  -0.978232   0.196227          0   0.058477 0.00654158  -0.076793          1|  0.390807  -0.206888  -0.896921          0   0.917994  0.0161356   0.396267          0 -0.0675104  -0.978232   0.196227          0   0.058477 0.00654158   0.123207          1|0.892043|0.0402055|0.05
 0.355851  0.407614 -0.840964         0  0.917994 0.0161356  0.396267         0  0.175093 -0.913012 -0.368446         0 0.0907588  0.105373 -0.155601         1| 0.355851  0.407614 -0.840964         0  0.917994 0.0161356  0.396267         0  0.175093 -0.913012 -0.368446         0 0.0551737  0.064612 -0.071505         1| 0.355851  0.407614 -0.840964         0  0.917994 0.0161356  0.396267         0  0.175093 -0.913012 -0.368446         0 0.0551737  0.064612  0.128495         1|0.892043|0.0402055|0.05
  0.370196  -0.757894   -0.53717          0   0.772018   0.572616   -0.27586          0   0.516665  -0.312583   0.797088          0  0.0966907  -0.136053 -0.0776459          1|  0.370196  -0.757894   -0.53717          0   0.772018   0.572616   -0.27586          0   0.516665  -0.312583   0.797088          0  0.0596711 -0.0602636 -0.0239289          1|  0.370196  -0.757894   -0.53717          0   0.772018   0.572616   -0.27586          0   0.516665  -0.312583   0.797088          0  0.0596711 -0.0602636   0.176071          1|0.891042|0.0396684|0.05
  0.462771  -0.803906    -0.3736          0  -0.772018  -0.572616    0.27586          0  -0.435695   0.160766  -0.885621          0   0.114697  -0.145002 -0.0458316          1|   0.462771   -0.803906     -0.3736           0   -0.772018   -0.572616     0.27586           0   -0.435695    0.160766   -0.885621           0   0.0684195  -0.0646118 -0.00847158           1|  0.462771  -0.803906    -0.3736          0  -0.772018  -0.572616    0.27586          0  -0.435695   0.160766  -0.885621          0  0.0684195 -0.0646118   0.191528          1|0.891042|0.0396684|0.05
 0.293981  0.138448 -0.945731         0 -0.776864  0.611037 -0.152038         0  0.556828  0.779401  0.287188         0 0.0808436  0.234079 -0.152372         1|  0.293981   0.138448  -0.945731          0  -0.776864   0.611037  -0.152038          0   0.556828   0.779401   0.287188          0  0.0514455   0.220235 -0.0577985          1| 0.293981  0.138448 -0.945731         0 -0.776864  0.611037 -0.152038         0  0.556828  0.779401  0.287188         0 0.0514455  0.220235  0.142201         1|0.880806|0.0420556|0.05
  0.565131   0.570127  -0.596308          0  -0.776864   0.611037  -0.152038          0   0.277686   0.549171   0.788227          0   0.133582   0.318041 -0.0844088          1| 0.565131  0.570127 -0.596308         0 -0.776864  0.611037 -0.152038         0  0.277686  0.549171  0.788227         0 0.0770691  0.261028 -0.024778         1| 0.565131  0.570127 -0.596308         0 -0.776864  0.611037 -0.152038         0  0.277686  0.549171  0.788227         0 0.0770691  0.261028  0.175222         1|0.880806|0.0420556|0.05
   0.62042   0.784037 -0.0191147          0  -0.776864   0.611037  -0.152038          0  -0.107523   0.109177    0.98819          0   0.144336   0.359646  0.0278553          1|   0.62042   0.784037 -0.0191147          0  -0.776864   0.611037  -0.152038          0  -0.107523   0.109177    0.98819          0  0.0822939   0.281243  0.0297667          1|   0.62042   0.784037 -0.0191147          0  -0.776864   0.611037  -0.152038          0  -0.107523   0.109177    0.98819          0  0.0822939   0.281243   0.229767          1|0.880806|0.0420556|0.05
 0.325363  0.182821 -0.927747         0  0.776864 -0.611037  0.152038         0 -0.539093 -0.770201 -0.340837         0 0.0869474   0.24271 -0.148874         1|  0.325363   0.182821  -0.927747          0   0.776864  -0.611037   0.152038          0  -0.539093  -0.770201  -0.340837          0  0.0544111   0.224428 -0.0560991          1| 0.325363  0.182821 -0.927747         0  0.776864 -0.611037  0.152038         0 -0.539093 -0.770201 -0.340837         0 0.0544111  0.224428  0.143901         1|0.880806|0.0420556|0.05
  0.580095   0.600618  -0.550225          0   0.776864  -0.611037   0.152038          0  -0.244891  -0.515646  -0.821059          0   0.136493   0.323972 -0.0754456          1|  0.580095   0.600618  -0.550225          0   0.776864  -0.611037   0.152038          0  -0.244891  -0.515646  -0.821059          0  0.0784832    0.26391 -0.0204232          1| 0.580095  0.600618 -0.550225         0  0.776864 -0.611037  0.152038         0 -0.244891 -0.515646 -0.821059         0 0.0784832   0.26391  0.179577         1|0.880806|0.0420556|0.05
 0.477569  0.559764 -0.677194         0  0.860649 -0.143067  0.488687         0  0.176665 -0.816209 -0.550084         0  0.114433  0.131575 -0.121236         1|  0.477569   0.559764  -0.677194          0   0.860649  -0.143067   0.488687          0   0.176665  -0.816209  -0.550084          0  0.0666761  0.0755981 -0.0535163          1| 0.477569  0.559764 -0.677194         0  0.860649 -0.143067  0.488687         0  0.176665 -0.816209 -0.550084         0 0.0666761 0.0755981  0.146484         1|0.879418|0.0428844|0.05
  0.509171   0.231824  -0.828856          0  -0.860649   0.143067  -0.488687          0 0.00529198    0.96218   0.272365          0    0.12058  0.0677903  -0.150734          1|  0.509171   0.231824  -0.828856          0  -0.860649   0.143067  -0.488687          0 0.00529198    0.96218   0.272365          0  0.0696624  0.0446078 -0.0678484          1|  0.509171   0.231824  -0.828856          0  -0.860649   0.143067  -0.488687          0 0.00529198    0.96218   0.272365          0  0.0696624  0.0446078   0.132152          1|0.879418|0.0428844|0.05
  0.490203 -0.0268969  -0.871193          0   0.860649  -0.143067   0.488687          0  -0.137783  -0.989348 -0.0469828          0    0.11689   0.017469  -0.158969          1|  0.490203 -0.0268969  -0.871193          0   0.860649  -0.143067   0.488687          0  -0.137783  -0.989348 -0.0469828          0    0.06787  0.0201587 -0.0718492          1|  0.490203 -0.0268969  -0.871193          0   0.860649  -0.143067   0.488687          0  -0.137783  -0.989348 -0.0469828          0    0.06787  0.0201587   0.128151          1|0.879418|0.0428844|0.05
  0.296839  -0.567813   0.767773          0   0.827736   0.553914  0.0896301          0  -0.476173   0.608907   0.634422          0  0.0807633 -0.0990823   0.168856          1| 0.296839 -0.567813  0.767773         0  0.827736  0.553914 0.0896301         0 -0.476173  0.608907  0.634422         0 0.0510795 -0.042301  0.092079         1| 0.296839 -0.567813  0.767773         0  0.827736  0.553914 0.0896301         0 -0.476173  0.608907  0.634422         0 0.0510795 -0.042301  0.292079         1|0.875833|0.0410078|0.05
 0.0397402   0.101464  -0.994045          0   0.827736   0.553914  0.0896301          0   0.559709  -0.826368 -0.0619724          0  0.0307577   0.031092  -0.173817          1| 0.0397402   0.101464  -0.994045          0   0.827736   0.553914  0.0896301          0   0.559709  -0.826368 -0.0619724          0  0.0267837  0.0209457 -0.0744128          1| 0.0397402   0.101464  -0.994045          0   0.827736   0.553914  0.0896301          0   0.559709  -0.826368 -0.0619724          0  0.0267837  0.0209457   0.125587          1|0.875833|0.0410078|0.05
  0.287858  -0.282068  -0.915191          0  -0.827736  -0.553914 -0.0896301          0  -0.481655   0.783337  -0.392926          0  0.0790166 -0.0435049   -0.15848          1|  0.287858  -0.282068  -0.915191          0  -0.827736  -0.553914 -0.0896301          0  -0.481655   0.783337  -0.392926          0  0.0502308 -0.0152981 -0.0669612          1|  0.287858  -0.282068  -0.915191          0  -0.827736  -0.553914 -0.0896301          0  -0.481655   0.783337  -0.392926          0  0.0502308 -0.0152981   0.133039          1|0.875833|0.0410078|0.05
  0.515992  -0.688632  -0.509449          0  -0.827736  -0.553914 -0.0896301          0  -0.220469   0.467938   -0.85582          0   0.123389  -0.122582 -0.0795634          1|  0.515992  -0.688632  -0.509449          0  -0.827736  -0.553914 -0.0896301          0  -0.220469   0.467938   -0.85582          0  0.0717894 -0.0537184 -0.0286185          1|  0.515992  -0.688632  -0.509449          0  -0.827736  -0.553914 -0.0896301          0  -0.220469   0.467938   -0.85582          0  0.0717894 -0.0537184   0.171381          1|0.875833|0.0410078|0.05
  0.547034  -0.832162  0.0908855          0  -0.827736  -0.553914 -0.0896301          0    0.12493 -0.0261984   -0.99182          0   0.129426  -0.150498  0.0372017          1|  0.547034  -0.832162  0.0908855          0  -0.827736  -0.553914 -0.0896301          0    0.12493 -0.0261984   -0.99182          0   0.074723 -0.0672819  0.0281131          1|  0.547034  -0.832162  0.0908855          0  -0.827736  -0.553914 -0.0896301          0    0.12493 -0.0261984   -0.99182          0   0.074723 -0.0672819   0.228113          1|0.875833|0.0410078|0.05
  0.369128  -0.657834   0.656505          0  -0.827736  -0.553914 -0.0896301          0   0.422609  -0.510327  -0.748978          0  0.0948237  -0.116591   0.147215          1|  0.369128  -0.657834   0.656505          0  -0.827736  -0.553914 -0.0896301          0   0.422609  -0.510327  -0.748978          0  0.0579108 -0.0508079  0.0815641          1|  0.369128  -0.657834   0.656505          0  -0.827736  -0.553914 -0.0896301          0   0.422609  -0.510327  -0.748978          0  0.0579108 -0.0508079   0.281564          1|0.875833|0.0410078|0.05
 0.520035 -0.817277  0.248238         0  0.827736  0.553914 0.0896301         0 -0.210755  0.158864  0.964544         0  0.124175 -0.147603 0.0678067         1|  0.520035  -0.817277   0.248238          0   0.827736   0.553914  0.0896301          0  -0.210755   0.158864   0.964544          0  0.0721715 -0.0658753  0.0429829          1|  0.520035  -0.817277   0.248238          0   0.827736   0.553914  0.0896301          0  -0.210755   0.158864   0.964544          0  0.0721715 -0.0658753   0.242983          1|0.875833|0.0410078|0.05
  0.361139  -0.403641  -0.840626          0   0.827736   0.553914  0.0896301          0   0.429456  -0.728185   0.534148          0  0.0932698 -0.0671509  -0.143977          1|  0.361139  -0.403641  -0.840626          0   0.827736   0.553914  0.0896301          0   0.429456  -0.728185   0.534148          0  0.0571559 -0.0267867 -0.0599147          1|  0.361139  -0.403641  -0.840626          0   0.827736   0.553914  0.0896301          0   0.429456  -0.728185   0.534148          0  0.0571559 -0.0267867   0.140085          1|0.875833|0.0410078|0.05
  0.544596  -0.754569  -0.366116          0   0.827736   0.553914  0.0896301          0   0.135165  -0.351859   0.926243          0   0.128952  -0.135406 -0.0516851          1|  0.544596  -0.754569  -0.366116          0   0.827736   0.553914  0.0896301          0   0.135165  -0.351859   0.926243          0  0.0744925 -0.0599494 -0.0150735          1|  0.544596  -0.754569  -0.366116          0   0.827736   0.553914  0.0896301          0   0.135165  -0.351859   0.926243          0  0.0744925 -0.0599494   0.184926          1|0.875833|0.0410078|0.05
 0.523025  0.158874 -0.837379         0 -0.849129   0.18203 -0.495827         0 0.0736541  0.970373  0.230111         0  0.123436  0.057537 -0.152189         1|  0.523025   0.158874  -0.837379          0  -0.849129    0.18203  -0.495827          0  0.0736541   0.970373   0.230111          0  0.0711339  0.0416496 -0.0684513          1| 0.523025  0.158874 -0.837379         0 -0.849129   0.18203 -0.495827         0 0.0736541  0.970373  0.230111         0 0.0711339 0.0416496  0.131549         1|0.875133|0.0430839|0.05
 0.511579 0.0498985 -0.857786         0  0.849129  -0.18203  0.495827         0 -0.131402 -0.982026 -0.135493         0   0.12121 0.0363413 -0.156158         1|  0.511579  0.0498985  -0.857786          0   0.849129   -0.18203   0.495827          0  -0.131402  -0.982026  -0.135493          0  0.0700523  0.0313514 -0.0703797          1| 0.511579 0.0498985 -0.857786         0  0.849129  -0.18203  0.495827         0 -0.131402 -0.982026 -0.135493         0 0.0700523 0.0313514   0.12962         1|0.875133|0.0430839|0.05
 0.491112  0.617589 -0.614323         0  0.849129  -0.18203  0.495827         0  0.194393 -0.765146  -0.61381         0  0.117229  0.146757 -0.108805         1|  0.491112   0.617589  -0.614323          0   0.849129   -0.18203   0.495827          0   0.194393  -0.765146   -0.61381          0  0.0681182  0.0849982 -0.0473724          1| 0.491112  0.617589 -0.614323         0  0.849129  -0.18203  0.495827         0  0.194393 -0.765146  -0.61381         0 0.0681182 0.0849982  0.152628         1|0.875133|0.0430839|0.05
  0.484595  -0.615451  -0.621601          0  -0.748463  0.0760567    -0.6588          0   0.452736   0.784497  -0.423786          0   0.118327 -0.0145424  -0.106883          1|  0.484595  -0.615451  -0.621601          0  -0.748463  0.0760567    -0.6588          0   0.452736   0.784497  -0.423786          0  0.0698675  0.0470026 -0.0447225          1| 0.484595 -0.615451 -0.621601         0 -0.748463 0.0760567   -0.6588         0  0.452736  0.784497 -0.423786         0 0.0698675 0.0470026  0.155277         1|0.875066|0.0425584|0.05
  0.658157 -0.0367943  -0.751981          0  -0.748463  0.0760567    -0.6588          0  0.0814333   0.996424  0.0225181          0   0.152085  0.0980063  -0.132242          1|  0.658157 -0.0367943  -0.751981          0  -0.748463  0.0760567    -0.6588          0  0.0814333   0.996424  0.0225181          0  0.0862692   0.101686 -0.0570434          1|  0.658157 -0.0367943  -0.751981          0  -0.748463  0.0760567    -0.6588          0  0.0814333   0.996424  0.0225181          0  0.0862692   0.101686   0.142957          1|0.875066|0.0425584|0.05
 0.580326  0.555916 -0.595129         0 -0.748463 0.0760567   -0.6588         0 -0.320974  0.827751  0.460221         0  0.136947  0.213288 -0.101734         1| 0.580326  0.555916 -0.595129         0 -0.748463 0.0760567   -0.6588         0 -0.320974  0.827751  0.460221         0 0.0789141  0.157697 -0.042221         1| 0.580326  0.555916 -0.595129         0 -0.748463 0.0760567   -0.6588         0 -0.320974  0.827751  0.460221         0 0.0789141  0.157697  0.157779         1|0.875066|0.0425584|0.05
   0.663143   0.0758876   -0.744636           0    0.748463  -0.0760567      0.6588           0 -0.00663979   -0.994211   -0.107236           0    0.153055    0.119923   -0.130813           1|   0.663143   0.0758876   -0.744636           0    0.748463  -0.0760567      0.6588           0 -0.00663979   -0.994211   -0.107236           0   0.0867403    0.112334  -0.0563493           1|   0.663143   0.0758876   -0.744636           0    0.748463  -0.0760567      0.6588           0 -0.00663979   -0.994211   -0.107236           0   0.0867403    0.112334    0.143651           1|0.875066|0.0425584|0.05
  0.532591  -0.522989  -0.665455          0   0.748463 -0.0760567     0.6588          0  -0.395157   -0.84894   0.350931          0   0.127662 0.00344148  -0.115412          1|  0.532591  -0.522989  -0.665455          0   0.748463 -0.0760567     0.6588          0  -0.395157   -0.84894   0.350931          0  0.0744031  0.0557403 -0.0488667          1|  0.532591  -0.522989  -0.665455          0   0.748463 -0.0760567     0.6588          0  -0.395157   -0.84894   0.350931          0  0.0744031  0.0557403   0.151133          1|0.875066|0.0425584|0.05
  0.315513  -0.793213  -0.520831          0   0.803663   0.515209    -0.2978          0   0.504556  -0.324613   0.800031          0   0.086055  -0.144463 -0.0746705          1|  0.315513  -0.793213  -0.520831          0   0.803663   0.515209    -0.2978          0   0.504556  -0.324613   0.800031          0  0.0545036 -0.0651422 -0.0225874          1|  0.315513  -0.793213  -0.520831          0   0.803663   0.515209    -0.2978          0   0.504556  -0.324613   0.800031          0  0.0545036 -0.0651422   0.177413          1|0.874538|0.0381064|0.05
0.0785994  -0.58795 -0.805069         0 -0.803663 -0.515209    0.2978         0  -0.58987  0.623598 -0.513009         0 0.0399752  -0.10454 -0.129955         1| 0.0785994   -0.58795  -0.805069          0  -0.803663  -0.515209     0.2978          0   -0.58987   0.623598  -0.513009          0  0.0321153 -0.0457449  -0.049448          1| 0.0785994   -0.58795  -0.805069          0  -0.803663  -0.515209     0.2978          0   -0.58987   0.623598  -0.513009          0  0.0321153 -0.0457449   0.150552          1|0.874538|0.0381064|0.05
   0.13157  -0.467424  -0.874188          0   0.877019   0.465954  -0.117147          0   0.462089  -0.751267   0.471245          0   0.050278 -0.0827786   -0.13977          1|   0.13157  -0.467424  -0.874188          0   0.877019   0.465954  -0.117147          0   0.462089  -0.751267   0.471245          0   0.037121 -0.0360362 -0.0523509          1|   0.13157  -0.467424  -0.874188          0   0.877019   0.465954  -0.117147          0   0.462089  -0.751267   0.471245          0   0.037121 -0.0360362   0.147649          1|0.874154|0.0349191|0.05
  0.378052  -0.819737  -0.430242          0   0.877019   0.465954  -0.117147          0   0.296503  -0.333043    0.89508          0  0.0982187  -0.151304 -0.0534222          1|  0.378052  -0.819737  -0.430242          0   0.877019   0.465954  -0.117147          0   0.296503  -0.333043    0.89508          0  0.0604135 -0.0693298  -0.010398          1|  0.378052  -0.819737  -0.430242          0   0.877019   0.465954  -0.117147          0   0.296503  -0.333043    0.89508          0  0.0604135 -0.0693298   0.189602          1|0.874154|0.0349191|0.05
 0.460319 -0.745057  0.482697         0 -0.877019 -0.465954  0.117147         0  0.137633 -0.477259 -0.867917         0   0.11422 -0.136778  0.124144         1|  0.460319  -0.745057   0.482697          0  -0.877019  -0.465954   0.117147          0   0.137633  -0.477259  -0.867917          0  0.0681878 -0.0622725  0.0758746          1|  0.460319  -0.745057   0.482697          0  -0.877019  -0.465954   0.117147          0   0.137633  -0.477259  -0.867917          0  0.0681878 -0.0622725   0.275875          1|0.874154|0.0349191|0.05
  0.453305   -0.88329  -0.119639          0  -0.877019  -0.465954   0.117147          0  -0.159221  0.0518227  -0.985882          0   0.112855  -0.163665 0.00698997          1|  0.453305   -0.88329  -0.119639          0  -0.877019  -0.465954   0.117147          0  -0.159221  0.0518227  -0.985882          0   0.067525 -0.0753355  0.0189539          1|  0.453305   -0.88329  -0.119639          0  -0.877019  -0.465954   0.117147          0  -0.159221  0.0518227  -0.985882          0   0.067525 -0.0753355   0.218954          1|0.874154|0.0349191|0.05
  0.48013 -0.858939  0.178042         0  0.877019  0.465954 -0.117147         0 0.0176625  0.212392  0.977025         0  0.118073 -0.158928  0.064889         1|   0.48013  -0.858939   0.178042          0   0.877019   0.465954  -0.117147          0  0.0176625   0.212392   0.977025          0  0.0700599 -0.0730344  0.0470848          1|   0.48013  -0.858939   0.178042          0   0.877019   0.465954  -0.117147          0  0.0176625   0.212392   0.977025          0  0.0700599 -0.0730344   0.247085          1|0.874154|0.0349191|0.05
-0.0113492  -0.223665    -0.9746          0  -0.877019  -0.465954   0.117147          0  -0.480321   0.856073  -0.190871          0  0.0224802 -0.0353676    -0.1593          1|-0.0113492  -0.223665    -0.9746          0  -0.877019  -0.465954   0.117147          0  -0.480321   0.856073  -0.190871          0  0.0236151  -0.013001 -0.0618399          1|-0.0113492  -0.223665    -0.9746          0  -0.877019  -0.465954   0.117147          0  -0.480321   0.856073  -0.190871          0  0.0236151  -0.013001    0.13816          1|0.874154|0.0349191|0.05
